adl_id,Description,Type,Nature,Location,Perpetrator,Target,State,County,City,Fips_County,Date,CountyState,cat_bomb threat,cat_cyberbullying,cat_harassment,cat_literature dump,cat_not specified,cat_performance,cat_vandalism,ColorCode
424,swastika drawn on back of jewish student's chair by classmate.,vandalism,nazi,in school,student,student,CA,San Mateo,burlingame,6081.0,2016-01-01,San Mateo County CA,False,False,False,False,False,False,True,64.0
896,high school soccer fans chanted anti-semitic slurs at opposing team.,harassment,general antisemitism,school event,crowd,student,FL,Broward,fort lauderdale,12011.0,2016-01-01,Broward County FL,False,False,True,False,False,False,False,4.0
1446,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school,FL,Orange,maitland,12095.0,2016-01-01,Orange County FL,True,False,False,False,False,False,False,1.0
1855,non-jewish elementary school student told jewish peer she did not like her because she was jewish.,harassment,general antisemitism,in school,student,student,FL,Orange,orlando,12095.0,2016-01-01,Orange County FL,False,False,True,False,False,False,False,4.0
1878,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school,FL,Palm Beach,palm beach gardens,12099.0,2016-01-01,Palm Beach County FL,True,False,False,False,False,False,False,1.0
1966,jewish student witnessed peer receive a text filled with anti-semitic content directed at her.,harassment,general antisemitism,social media,not specified,student,FL,St. Johns,ponte vedra beach,12109.0,2016-01-01,St. Johns County FL,False,False,True,False,False,False,False,4.0
1066,middle school student made anti-semitic comments during a class discussion of the holocaust.,harassment,general antisemitism,in school,student,not specified,FL,Volusia,daytona beach,12127.0,2016-01-01,Volusia County FL,False,False,True,False,False,False,False,4.0
438,middle school student the victim of ongoing anti-semitic jokes and taunts.,harassment,general antisemitism,not specified,student,student,GA,Grady,cairo,13131.0,2016-01-01,Grady County GA,False,False,True,False,False,False,False,4.0
1498,photo of swastika made of pennies circulated on social media at a high school.,cyberbullying,"nazi,money",social media,not specified,not specified,MA,Essex,marblehead,25009.0,2016-01-01,Essex County MA,False,True,False,False,False,False,False,2.0
1690,high school student victim of anti-semitic verbal harassment.,harassment,general antisemitism,not specified,not specified,student,MA,Middlesex,natick,25017.0,2016-01-01,Middlesex County MA,False,False,True,False,False,False,False,4.0
1024,school presentation defaced with swastika drawings.,vandalism,nazi,in school,not specified,not specified,NJ,Morris,hanover,34027.0,2016-01-01,Morris County NJ,False,False,False,False,False,False,True,64.0
2038,"school's grounds vandalized with swastikas, 666 imagery and profanities.",vandalism,nazi,outside school,not specified,not specified,PA,Berks,reading,42011.0,2016-01-01,Berks County PA,False,False,False,False,False,False,True,64.0
1190,students used anti-semitic epithets to criticize individuals' appearances.,harassment,general antisemitism,not specified,student,student,FL,Miami-Dade,kendall,12086.0,2016-02-01,Miami-Dade County FL,False,False,True,False,False,False,False,4.0
1944,"jewish students faced ongoing taunting and anti-semitic ""jokes"" from peers.",harassment,general antisemitism,not specified,student,student,FL,Palm Beach,boca raton,12099.0,2016-02-01,Palm Beach County FL,False,False,True,False,False,False,False,4.0
2625,jewish student harassed on social media.,harassment,general antisemitism,social media,not specified,student,FL,Palm Beach,west palm beach,12099.0,2016-02-01,Palm Beach County FL,False,False,True,False,False,False,False,4.0
44,"six middle school students performed ""heil hitler"" salute and called a boy ""hitler,"" in addition to swastikas found etched in school bathroom.","vandalism, harassment, performance",nazi,in school,student,student,GA,Fulton,alpharetta,13121.0,2016-02-01,Fulton County GA,False,False,True,False,False,True,True,100.0
1755,"swastika drawn in the snow; ""burn the jews"" written in school bathroom.",vandalism,nazi,in school,not specified,not specified,MA,Middlesex,newton,25017.0,2016-02-01,Middlesex County MA,False,False,False,False,False,False,True,64.0
2336,bomb threat called into jewish school.,bomb threat,general antisemitism,in school,not specified,school,MO,St. Louis,st. louis,29189.0,2016-02-01,St. Louis County MO,True,False,False,False,False,False,False,1.0
1705,jewish students faced anti-semitic harassment in school.,harassment,general antisemitism,in school,not specified,student,NJ,Middlesex,new brunswick,34023.0,2016-02-01,Middlesex County NJ,False,False,True,False,False,False,False,4.0
