adl_id,description,code.type,code.nature,code.location,code.perpetrator,code.target
424,swastika drawn on back of jewish student's chair by classmate.,vandalism,nazi,in school,student,student
896,high school soccer fans chanted anti-semitic slurs at opposing team.,harassment,general antisemitism,school event,crowd,student
1446,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school
1855,non-jewish elementary school student told jewish peer she did not like her because she was jewish.,harassment,general antisemitism,in school,student,student
1878,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school
1966,jewish student witnessed peer receive a text filled with anti-semitic content directed at her.,harassment,general antisemitism,social media,not specified,student
1066,middle school student made anti-semitic comments during a class discussion of the holocaust.,harassment,general antisemitism,in school,student,not specified
438,middle school student the victim of ongoing anti-semitic jokes and taunts.,harassment,general antisemitism,not specified,student,student
1498,photo of swastika made of pennies circulated on social media at a high school.,cyberbullying,"nazi,money",social media,not specified,not specified
1690,high school student victim of anti-semitic verbal harassment.,harassment,general antisemitism,not specified,not specified,student
1024,school presentation defaced with swastika drawings.,vandalism,nazi,in school,not specified,not specified
2038,"school's grounds vandalized with swastikas, 666 imagery and profanities.",vandalism,nazi,outside school,not specified,not specified
1190,students used anti-semitic epithets to criticize individuals' appearances.,harassment,general antisemitism,not specified,student,student
1944,"jewish students faced ongoing taunting and anti-semitic ""jokes"" from peers.",harassment,general antisemitism,not specified,student,student
2625,jewish student harassed on social media.,harassment,general antisemitism,social media,not specified,student
44,"six middle school students performed ""heil hitler"" salute and called a boy ""hitler,"" in addition to swastikas found etched in school bathroom.","vandalism, harassment, performance",nazi,in school,student,student
1755,"swastika drawn in the snow; ""burn the jews"" written in school bathroom.",vandalism,nazi,in school,not specified,not specified
2336,bomb threat called into jewish school.,bomb threat,general antisemitism,in school,not specified,school
1705,jewish students faced anti-semitic harassment in school.,harassment,general antisemitism,in school,not specified,student
1781,middle school student victim of anti-semitic harassment by classmates.,harassment,general antisemitism,in school,student,student
2700,jewish school received a threatening phone call.,harassment,general antisemitism,in school,not specified,school
425,students received an email that denied the events of the holocaust.,harassment,holocaust denial,social media,not specified,student
