,state,county,city,date,description,adl_id,fips_county,CountyState
0,AL,Colbert,tuscumbia,2018-12-04,"an unknown person or group distributed a flier at deshler high school which used an anti-semitic image to define the word ""avarice.""",5336,1033,Colbert County AL
1,AL,Jefferson,birmingham,2017-02-01,bomb threat - n.e. miles jewish day school,2717,1073,Jefferson County AL
2,AL,Jefferson,mountain brook,2018-10-01,"anti-semitic, anti-minority, and racial graffiti was discovered inside a bathroom at a middle school.",6624,1073,Jefferson County AL
3,AL,Jefferson,mountain brook,2019-03-01,a non-jewish student made anti-semitic comments to a jewish student in school.,9597,1073,Jefferson County AL
4,AL,Mobile,grand bay,2018-01-01,"swastika drawing and ""hail hitler"" written in bathroom stall at a middle school.",5580,1097,Mobile County AL
5,AL,Mobile,mobile,2016-05-01,"""hitler did nothin' wrong"" painted outside classroom.",1625,1097,Mobile County AL
6,AL,Shelby,birmingham,2017-02-01,bomb threat - n.e. miles jewish day school,2717,1117,Shelby County AL
7,AR,Boone,little rock,2017-03-01,swastika anti-semitic incident: vandalism at school.,2720,5009,Boone County AR
8,AR,Pulaski,little rock,2017-03-01,swastika anti-semitic incident: vandalism at school.,2720,5119,Pulaski County AR
9,AR,Yell,danville,2018-02-01,swastika graffiti discovered at a high school.,5655,5149,Yell County AR
10,AZ,Maricopa,gilbert,2019-03-11,"folks front, a neo-nazi group, distributed anti-semitic fliers that featured a swastika at perry high school.",9598,4013,Maricopa County AZ
11,AZ,Maricopa,glendale,2018-10-01,"a middle school student was told by a peer: ""you're a jew. i'm going to burn you!""",6579,4013,Maricopa County AZ
12,AZ,Maricopa,glendale,2018-10-01,"a middle school-aged jewish boy was verbally assaulted by his teacher in front of his classmates, and told him he was not a jew.",6493,4013,Maricopa County AZ
13,AZ,Maricopa,goodyear,2016-08-01,student was target of anti-semitic bullying.,986,4013,Maricopa County AZ
14,AZ,Maricopa,mesa,2019-01-29,"folks front, a neo-nazi group, distributed anti-semitic fliers at skyline high school that featured a swastika in place of the letter ""o"" in the word ""love"" and the jewish star in place of the letter ""a"" in the word ""hate.""",9491,4013,Maricopa County AZ
15,AZ,Maricopa,paradise valley,2017-02-01,elementary school building defaced with swastikas.,2725,4013,Maricopa County AZ
16,AZ,Maricopa,paradise valley,2017-02-01,students made jokes about concentration camps and performed the nazi salute.,2729,4013,Maricopa County AZ
17,AZ,Maricopa,paradise valley,2018-02-01,students at a high school gathered to form a swastika with their bodies.,5609,4013,Maricopa County AZ
18,AZ,Maricopa,peoria,2018-01-01,jewish middle school student experiencing ongoing anti-semitic harassment in school by peers.,5521,4013,Maricopa County AZ
19,AZ,Maricopa,phoenix,2017-03-01,"racist, anti-semitic graffiti at high school.",2736,4013,Maricopa County AZ
20,AZ,Maricopa,phoenix,2017-03-01,jewish student being harassed for wearing star of david necklace.,2732,4013,Maricopa County AZ
21,AZ,Maricopa,phoenix,2018-12-01,swastika graffiti discovered in a stairwell at a high school.,7065,4013,Maricopa County AZ
22,AZ,Maricopa,scottsdale,2017-02-01,four incidents reported of children drawing swastikas at local school.,2728,4013,Maricopa County AZ
23,AZ,Maricopa,scottsdale,2018-12-01,jewish high school student victim of anti-semitic harassment and bullying in school by classmate.,7024,4013,Maricopa County AZ
24,AZ,Mohave,bullhead city,2018-09-01,elementary school student was a victim of anti-semitic bullying that included taunts and written harassment.,6390,4015,Mohave County AZ
25,AZ,Pima,tucson,2017-02-01,"jewish student harassed by peers with holocaust ""jokes.""",2726,4019,Pima County AZ
26,AZ,Pima,tucson,2017-10-01,jewish high school student victim of anti-semitic bullying at school.,2745,4019,Pima County AZ
27,AZ,Pima,tucson,2019-09-01,"drawings of swastikas, guns, and nooses were found on bathroom walls in a high school.",11958,4019,Pima County AZ
28,AZ,Pima,vail,2017-05-01,ongoing anti-semitic anti-semitic incident: harassment and bullying at a school.,2739,4019,Pima County AZ
29,AZ,Pinal,maricopa,2016-03-01,student was target of anti-semitic bullying,1501,4021,Pinal County AZ
30,CA,Alameda,alameda,2017-01-01,"jewish high school student harassed by classmates. she received text messages with pictures of nazis and the word ""kike,"" and verbal comments including anti-israel messages and that hitler should have ""finished the job.""",2757,6001,Alameda County CA
31,CA,Alameda,alameda,2017-05-01,"graffiti including two swastikas, the nazi flag, and image of a bag of money with a star of david next to it, and the words ""jews are evil"" were found etched into a desk at a high school.",2893,6001,Alameda County CA
32,CA,Alameda,alameda,2017-06-01,anti-semitic graffiti found at elementary school.,2914,6001,Alameda County CA
33,CA,Alameda,alameda,2018-06-01,swastika graffiti discovered at a high school.,6143,6001,Alameda County CA
34,CA,Alameda,albany,2017-03-01,nine high school students painted swastikas and harassed jewish teacher.,2840,6001,Alameda County CA
35,CA,Alameda,albany,2018-02-01,"for valentine's day, a middle school student inundated a school printer with hundreds of copies of a picture of hitler and a message saying.""",5614,6001,Alameda County CA
36,CA,Alameda,berkeley,2017-09-01,"anti-semitic and racist instagram account ""i hate jews"" created by berkeley high school students.",2962,6001,Alameda County CA
37,CA,Alameda,berkeley,2018-10-08,"a daily stormer book club, an alt right group, distributed flyers at maybeck high school. the flyers read: ""every time some anti-white, anti-america, anti-freedom event takes place, you look at it, and it's jews behind it.""",4823,6001,Alameda County CA
38,CA,Alameda,fremont,2016-12-01,yearbook quote referencing swastikas and nazi symbolism was submitted using the name of a jewish student.,940,6001,Alameda County CA
39,CA,Alameda,fremont,2017-06-01,students vandalized school with graffiti that included a swastika.,2904,6001,Alameda County CA
40,CA,Alameda,oakland,2016-12-01,high school teacher promoted holocaust denial and anti-semitic conspiracy theories.,1804,6001,Alameda County CA
41,CA,Alameda,piedmont,2018-05-01,anti-semitic language disseminated on high school listserv.,5912,6001,Alameda County CA
42,CA,Alameda,piedmont,2019-10-01,"high school students circulated anti-semitic memes. one meme said: ""what is the difference between a jew and a dollar?"" the second said ""i'd give a shit if i lost 6 million dollars.""",9976,6001,Alameda County CA
