adl_id,Description,Type,Nature,Location,Perpetrator,Target,State,County,City,Fips_County,Date,CountyState,population_2010,latitude,longitude,Land_Area,Water_Area,Total_Area
424,swastika drawn on back of jewish student's chair by classmate.,vandalism,nazi,in school,student,student,CA,San Mateo,burlingame,6081,1/1/2016,San Mateo County CA,"718,451",37.414664,-122.37154199999999,448.408,292.551,740.959
896,high school soccer fans chanted anti-semitic slurs at opposing team.,harassment,general antisemitism,school event,crowd,student,FL,Broward,fort lauderdale,12011,1/1/2016,Broward County FL,"1,748,066",26.19352,-80.476658,"1,209.79",113.077,"1,322.86"
1446,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school,FL,Orange,maitland,12095,1/1/2016,Orange County FL,"1,145,956",28.514435,-81.323295,903.429,99.831,"1,003.26"
1855,non-jewish elementary school student told jewish peer she did not like her because she was jewish.,harassment,general antisemitism,in school,student,student,FL,Orange,orlando,12095,1/1/2016,Orange County FL,"1,145,956",28.514435,-81.323295,903.429,99.831,"1,003.26"
1878,jewish school received a bomb threat.,bomb threat,general antisemitism,in school,not specified,school,FL,Palm Beach,palm beach gardens,12099,1/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
1966,jewish student witnessed peer receive a text filled with anti-semitic content directed at her.,harassment,general antisemitism,social media,not specified,student,FL,St. Johns,ponte vedra beach,12109,1/1/2016,St. Johns County FL,"190,039",29.890593,-81.383914,600.655,220.87,821.525
1066,middle school student made anti-semitic comments during a class discussion of the holocaust.,harassment,general antisemitism,in school,student,not specified,FL,Volusia,daytona beach,12127,1/1/2016,Volusia County FL,"494,593",29.057616999999997,-81.161813,"1,101.03",331.404,"1,432.44"
438,middle school student the victim of ongoing anti-semitic jokes and taunts.,harassment,general antisemitism,not specified,student,student,GA,Grady,cairo,13131,1/1/2016,Grady County GA,"25,011",30.875863,-84.244772,454.527,5.737,460.264
1498,photo of swastika made of pennies circulated on social media at a high school.,cyberbullying,"nazi,money",social media,not specified,not specified,MA,Essex,marblehead,25009,1/1/2016,Essex County MA,"743,159",42.642711,-70.865107,492.563,335.911,828.474
1690,high school student victim of anti-semitic verbal harassment.,harassment,general antisemitism,not specified,not specified,student,MA,Middlesex,natick,25017,1/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
1024,school presentation defaced with swastika drawings.,vandalism,nazi,in school,not specified,not specified,NJ,Morris,hanover,34027,1/1/2016,Morris County NJ,"492,276",40.858581,-74.547427,460.177,21.448,481.625
2038,"school's grounds vandalized with swastikas, 666 imagery and profanities.",vandalism,nazi,outside school,not specified,not specified,PA,Berks,reading,42011,1/1/2016,Berks County PA,"411,442",40.413957,-75.92685999999999,856.506,9.249,865.755
1190,students used anti-semitic epithets to criticize individuals' appearances.,harassment,general antisemitism,not specified,student,student,FL,Miami-Dade,kendall,12086,2/1/2016,Miami-Dade County FL,"2,496,435",25.610494,-80.499045,"1,897.72",533.467,"2,431.18"
1944,"jewish students faced ongoing taunting and anti-semitic ""jokes"" from peers.",harassment,general antisemitism,not specified,student,student,FL,Palm Beach,boca raton,12099,2/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
2625,jewish student harassed on social media.,harassment,general antisemitism,social media,not specified,student,FL,Palm Beach,west palm beach,12099,2/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
44,"six middle school students performed ""heil hitler"" salute and called a boy ""hitler,"" in addition to swastikas found etched in school bathroom.","vandalism, harassment, performance",nazi,in school,student,student,GA,Fulton,alpharetta,13121,2/1/2016,Fulton County GA,"920,581",33.790034000000006,-84.468182,526.635,7.69,534.325
1755,"swastika drawn in the snow; ""burn the jews"" written in school bathroom.",vandalism,nazi,in school,not specified,not specified,MA,Middlesex,newton,25017,2/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
2336,bomb threat called into jewish school.,bomb threat,general antisemitism,in school,not specified,school,MO,St. Louis,st. louis,29189,2/1/2016,St. Louis County MO,"998,954",38.640702000000005,-90.445954,507.8,15.218,523.018
1705,jewish students faced anti-semitic harassment in school.,harassment,general antisemitism,in school,not specified,student,NJ,Middlesex,new brunswick,34023,2/1/2016,Middlesex County NJ,"809,858",40.439593,-74.407585,308.914,13.913,322.827
1781,middle school student victim of anti-semitic harassment by classmates.,harassment,general antisemitism,in school,student,student,OH,Stark,north canton,39151,2/1/2016,Stark County OH,"375,586",40.814131,-81.365667,575.271,5.262,580.533
2700,jewish school received a threatening phone call.,harassment,general antisemitism,in school,not specified,school,PA,Montgomery,wynnewood,42091,2/1/2016,Montgomery County PA,"799,874",40.209998999999996,-75.370201,483.04,4.155,487.195
425,students received an email that denied the events of the holocaust.,harassment,holocaust denial,social media,not specified,student,VT,Chittenden,burlington,50007,2/1/2016,Chittenden County VT,"156,545",44.460676,-73.070525,536.578,82.721,619.299
1501,student was target of anti-semitic bullying,harassment,general antisemitism,not specified,student,student,AZ,Pinal,maricopa,4021,3/1/2016,Pinal County AZ,"375,770",32.91891,-111.36725700000001,"5,365.61",8.622,"5,374.23"
696,jewish girl at middle school victim of anti-semitic bullying by peers.,harassment,general antisemitism,in school,student,student,CA,Contra Costa,danville,6013,3/1/2016,Contra Costa County CA,"1,049,025",37.919478999999995,-121.95154299999999,715.937,87.833,803.77
1202,class course website about insects displayed anti-semitic cartoons comparing jews to cockroaches.,cyberbullying,general antisemitism,social media,not specified,not specified,FL,Osceola,kissimmee,12097,3/1/2016,Osceola County FL,"268,685",28.059027,-81.139312,"1,327.45",178.453,"1,505.91"
1178,"middle school students told another student, ""all jews should have died"" and ""hitler was right.""",harassment,nazi,in school,student,student,FL,Palm Beach,jupiter,12099,3/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
1423,students made offensive holocaust jokes and promoted anti-semitic conspiracy theories.,harassment,nazi,not specified,student,not specified,FL,Palm Beach,loxahatchee,12099,3/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
1162,middle school student victim of ongoing anti-semitic harassment.,harassment,general antisemitism,not specified,not specified,student,GA,Fulton,johns creek,13121,3/1/2016,Fulton County GA,"920,581",33.790034000000006,-84.468182,526.635,7.69,534.325
79,swastika and racist graffiti found at middle school.,vandalism,nazi,in school,not specified,not specified,MA,Middlesex,arlington,25017,3/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
924,"middle school students made anti-semitic remarks, blamed jews and israel for 9/11 terrorist attacks.",harassment,"general antisemitism, israel, conspiracy",not specified,student,not specified,MA,Middlesex,framingham,25017,3/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
1507,boy was victim of anti-semitic bullying in school.,harassment,general antisemitism,in school,student,student,MA,Middlesex,marlborough,25017,3/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
1756,"""burn the jews"" written in school bathroom.",vandalism,nazi,in school,not specified,not specified,MA,Middlesex,newton,25017,3/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
1762,swastika and message promoting anti-semitism found in girl's bathroom of high school.,vandalism,"nazi, general antisemitism",in school,not specified,not specified,MA,Middlesex,newton,25017,3/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
468,student spectators at high school basketball game yelled anti-semitic taunts at opposing team's fans.,harassment,general antisemitism,school event,crowd,school,MA,Suffolk,boston,25025,3/1/2016,Suffolk County MA,"722,023",42.331959999999995,-71.020173,58.154,62.065,120.219
1272,"jewish student told to ""burn in the ovens with the other jews.""",harassment,nazi,not specified,student,student,MI,Macomb,l'anse creuse,26099,3/1/2016,Macomb County MI,"840,978",42.671467,-82.91086899999999,479.223,91.627,570.85
976,swastika graffiti discovered in high school bathroom.,vandalism,nazi,in school,not specified,not specified,NJ,Gloucester,glassboro,34015,3/1/2016,Gloucester County NJ,"288,288",39.721019,-75.14370799999999,322.005,15.172,337.177
1805,swastika etched into front driver-side window of car parked in front of high school.,vandalism,nazi,outside school,not specified,not specified,NY,Kings,brooklyn,36047,3/1/2016,Kings County NY,"2,504,700",40.635133,-73.950777,70.816,26.102,96.918
2037,"students reported hearing the word ""jew"" used pejoratively.",harassment,general antisemitism,not specified,not specified,not specified,PA,Berks,reading,42011,3/1/2016,Berks County PA,"411,442",40.413957,-75.92685999999999,856.506,9.249,865.755
2386,"jewish students repeatedly targeted with anti-semitic comments, slurs, phone calls and the nazi salute. swastika drawn in front of elementary school.","harassment, performance, vandalism","nazi, general antisemitism","in school, outside school",not specified,student,SC,Berkeley,summerville,45015,3/1/2016,Berkeley County SC,"177,843",33.2077,-79.953655,"1,098.86",130.38,"1,229.24"
1085,"teacher yelled ""heil, hitler"" at jewish student.",harassment,nazi,in school,teacher,student,TX,Harris,houston,48201,3/1/2016,Harris County TX,"4,092,459",29.857273,-95.39303699999999,"1,703.48",74.005,"1,777.48"
1223,"jewish high school student told by his peers ""you should have burned like all the rest of the jews.""",harassment,nazi,not specified,student,student,CA,Contra Costa,lafayette,6013,4/1/2016,Contra Costa County CA,"1,049,025",37.919478999999995,-121.95154299999999,715.937,87.833,803.77
1795,swastika and other graffiti found on school wall.,vandalism,nazi,in school,not specified,not specified,CA,Los Angeles,northridge,6037,4/1/2016,Los Angeles County CA,"9,818,605",34.196397999999995,-118.26186200000001,"4,057.88",693.058,"4,750.94"
1659,high school students made anti-semitic remarks and threatened violence in online group chat during school elections.,harassment,general antisemitism,social media,student,not specified,CA,Santa Clara,mountain view,6085,4/1/2016,Santa Clara County CA,"1,781,642",37.220777000000005,-121.69062199999999,"1,290.10",13.967,"1,304.07"
92,jewish student at public high school was victim of anti-semitic harassment and bullying.,harassment,general antisemitism,in school,student,student,CO,Jefferson,arvada,8059,4/1/2016,Jefferson County CO,"534,543",39.586459999999995,-105.24560100000001,764.208,9.825,774.033
2644,high school student experienced ongoing anti-semitic harassment on social media.,harassment,general antisemitism,social media,not specified,student,FL,Broward,weston,12011,4/1/2016,Broward County FL,"1,748,066",26.19352,-80.476658,"1,209.79",113.077,"1,322.86"
1149,"""free palestine, free gaza"" keyed into jewish student's car at high school.",vandalism,israel,outside school,not specified,student,FL,Duval,jacksonville,12031,4/1/2016,Duval County FL,"864,263",30.335245,-81.648113,762.192,156.26,918.452
319,jewish students at a middle school experienced anti-semitic harassment and bullying.,harassment,general antisemitism,in school,student,student,FL,Manatee,bradenton,12081,4/1/2016,Manatee County FL,"322,833",27.481385999999997,-82.36578399999999,742.931,149.748,892.679
680,jewish student threatened and taunted by his peers and teachers for being jewish.,harassment,general antisemitism,in school,"teacher, student",student,FL,Miami-Dade,cutler bay,12086,4/1/2016,Miami-Dade County FL,"2,496,435",25.610494,-80.499045,"1,897.72",533.467,"2,431.18"
266,"middle school student heard multiple anti-semitic ""jokes"" during lunch.",harassment,general antisemitism,in school,not specified,not specified,FL,Palm Beach,boca raton,12099,4/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
1879,"public school student called a ""jew"" in a derogatory fashion.",harassment,general antisemitism,not specified,not specified,student,FL,Palm Beach,palm beach gardens,12099,4/1/2016,Palm Beach County FL,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01"
439,high school students posted anti-semitic content.,harassment,general antisemitism,social media,student,not specified,GA,Grady,cairo,13131,4/1/2016,Grady County GA,"25,011",30.875863,-84.244772,454.527,5.737,460.264
1497,swastika carved into school bleachers.,vandalism,nazi,in school,not specified,not specified,MA,Essex,marblehead,25009,4/1/2016,Essex County MA,"743,159",42.642711,-70.865107,492.563,335.911,828.474
1765,swastika graffiti discovered in high school bathroom.,vandalism,nazi,in school,not specified,not specified,MA,Middlesex,newton,25017,4/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
1764,swastika found drawn in dust of stairwell at middle school.,vandalism,nazi,in school,not specified,not specified,MA,Middlesex,newton,25017,4/1/2016,Middlesex County MA,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06
