adl_id,Description,Fips_County,Date,population_2010,latitude,longitude,Land_Area,Water_Area,Total_Area,Y_bomb_threat,Y_cyberbullying,Y_harassment,Y_literature_dump,Y_not_specified,Y_performance,Y_vandalism,conspiracy,general_antisemitism,holocaust_denial,israel,money,nazi,oppression_connection,in_school,not_specified,outside_school,publication,school_event,school_trip,social_media,Perpetrator-crowd,Perpetrator-not_specified,Perpetrator-outsider,Perpetrator-parent,Perpetrator-school_personnel,Perpetrator-student,Perpetrator-students,Perpetrator-teacher,not specified,outsider,parent,school,school personnel,student,teacher
424,swastika drawn on back of jewish student's chair by classmate.,6081,1.4931506849315068,"718,451",37.414664,-122.37154199999999,448.408,292.551,740.959,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
896,high school soccer fans chanted anti-semitic slurs at opposing team.,12011,1.4931506849315068,"1,748,066",26.19352,-80.476658,"1,209.79",113.077,"1,322.86",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1446,jewish school received a bomb threat.,12095,1.4931506849315068,"1,145,956",28.514435,-81.323295,903.429,99.831,"1,003.26",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1855,non-jewish elementary school student told jewish peer she did not like her because she was jewish.,12095,1.4931506849315068,"1,145,956",28.514435,-81.323295,903.429,99.831,"1,003.26",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1878,jewish school received a bomb threat.,12099,1.4931506849315068,"1,320,134",26.645763,-80.448673,"1,969.76",413.246,"2,383.01",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1966,jewish student witnessed peer receive a text filled with anti-semitic content directed at her.,12109,1.4931506849315068,"190,039",29.890593,-81.383914,600.655,220.87,821.525,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1066,middle school student made anti-semitic comments during a class discussion of the holocaust.,12127,1.4931506849315068,"494,593",29.057616999999997,-81.161813,"1,101.03",331.404,"1,432.44",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
438,middle school student the victim of ongoing anti-semitic jokes and taunts.,13131,1.4931506849315068,"25,011",30.875863,-84.244772,454.527,5.737,460.264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1498,photo of swastika made of pennies circulated on social media at a high school.,25009,1.4931506849315068,"743,159",42.642711,-70.865107,492.563,335.911,828.474,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1690,high school student victim of anti-semitic verbal harassment.,25017,1.4931506849315068,"1,503,085",42.479477,-71.396507,817.817,29.243,847.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
