CountyState,no_of_events,first_occurrence,last_occurrence,duration,avg_interval,cities,descriptions,latitude,longitude
Norfolk County MA,35.0,2016-10-01,2019-12-01,1156 days,33 days 00:41:08.571428571,"brookline, canton, dedham, foxborough, franklin, medfield, milton, needham, quincy, sharon, stoughton, walpole, wellesley, westwood","['a student at stoughton high school drew a swastika during a group project to make up designs for a flag.', 'a swastika and racial slur were written on a white board at sharon high school.', 'a swastika drawing was discovered in the lobby of a high school.', 'a swastika drawing was found in a bathroom at a public high school.', 'a swastika was drawn into a desk at a school.', 'a swastika was drawn on the ground at ahern middle school.', 'anti-semitic flyer sent to jewish school.', 'at least three students dressed as hitler for an assignment on ""a person they admire.""', 'high school property vandalized with swastika.', 'high school student tried to give jewish student a piece of paper with a swastika and ""burn the jews.""', 'jewish high school student told to ""go back to the concentration camp"" by football teammate.', 'jewish student victim of anti-semitic bullying by peers at school.', 'on the bus home from school, an elementary school-aged boy was choked by another student and told: ""i want to kill you because you are jewish.""', 'racist and anti-semitic graffiti discovered in a middle school. ', 'repeated anti-semitic bullying of jewish student.', 'school administrators at mitchell elementary school reported that an anti-semitic incident had occurred between fifth-grade students.', 'student at a middle school discovered swastika drawings on their desk.', 'student drew a swastika, nazi flag, and wrote ""heil hitler"" on a school desk in a jewish teacher\'s classroom.', 'student was disparagingly referred to as ""jewboy"" by student of opposing sports team.', 'students at a middle school targeted jewish students with anti-semitic jokes.', 'swastika and racist vandalism discovered in a school bathroom.', 'swastika discovered in boys bathroom in middle school.', 'swastika etched into computer at a high school.', 'swastika etching discovered on a window in a classroom at a middle school.', 'swastika found in restroom at needham high school.', 'swastika graffiti discovered in middle school bathroom.', 'swastika vandalism discovered at a middle school.', 'swastika vandalism discovered in a bathroom at a middle school.', 'swastika vandalism discovered in a bathroom at thurston middle school.', 'swastika, homophobic, and racist graffiti discovered at a high school.', ""swastikas found on middle school students' papers, school bulletin board, and paper covering a bookshelf."", 'swastikas were found drawn in a school bathroom at wellesley middle school.', 'swastikas were spray-painted on the exterior of beechwood knoll elementary school.', 'the jewish student union sign at a high school was defaced with a swastika.', 'three small swastikas scratched into a bathroom stall at needham high school.']",42.169703000000005,-71.179875
San Diego County CA,24.0,2016-07-01,2019-12-01,1248 days,52 days 00:00:00,"bonita, carlsbad, el cajon, la jolla, pine valley, poway, san diego, san marcos","['a high school was vandalized with swastika graffiti.', 'a jewish student at an elementary school was told by a classmate that he hates all jews because jews ""kill my people.""', 'a non-jewish student yelled at a jewish student while playing tetherball: ""you\'re an asshole you jewish cunt.""', 'a swastika was formed using food at a school.', 'anti-semitic graffiti discovered at an elementary school.', 'anti-semitic incident: vandalism that included a swastika were spray-painted on the campus of a high school.', 'at a high school, a wifi hotspot was named with five swastika images and visible to those in the vicinity.', 'boys performed nazi salute to jewish student during a soccer game.', ""jewish elementary school student told by classmate that they couldn't play together because her father hates jews and does not want jews in his house."", 'jewish high school senior called a ""kike"" by classmates and faced multiple incidents of anti-semitic ""jokes.""', 'jewish middle school student was physically assaulted by another student who also used anti-semitic language to threaten the student.', 'jewish middle school-aged student victim of ongoing anti-semitic anti-semitic incident: harassment and bullying at school.', 'jewish student victim of anti-semitic bullying at school.', 'jewish students at a public high school were victims of ongoing anti-semitic harassment and bullying.', 'jewish students overheard anti-semitic comments made by their peers, including a meme that read: ""feels good to kill jews.""', 'middle school defaced with swastika graffiti.', 'middle school student made anti-semitic remarks in a group chat.', 'middle school teacher assigned an anti-semitic and pseudo-historical book that demonized israeli jews.', 'person using a loudspeaker shouting anti-israel and anti-semitic slurs from a car outside a hebrew language school, across the street from a local mosque.', 'racist and anti-semitic graffiti was discovered on walls at a school.', 'student called peer a ""dirty jew"" and harassed him via social media, referencing hitler and ovens.', ""swastika drawn on jewish school's property."", 'swastika vandalism discovered on a desk at a middle school.', 'swastikas, ""kkk,"" and ""auschwitz"" written in middle school student\'s yearbook.']",33.023604,-116.776117
Orange County CA,23.0,2017-03-01,2019-12-01,1005 days,43 days 16:41:44.347826087,"garden grove, irvine, laguna beach, lake forest, mission viejo, newport beach, san clemente, santa ana, tustin, yorba linda","['a 22-year-old woman neo-nazi and anti-semitic fliers on the newport harbor high school campus.', 'a high school student was the victim of ongoing anti-semitic holocaust jokes by a classmate.', 'a holocaust joke was directed toward a jewish student at a middle school.', 'a star of david and the word ""juden"" were written on a gym locker at a high school.', 'a student at a middle school edited a class project with the message ""hitler did nothing wrong.""', 'after a high school soccer game at a jewish high school, members of the opposing team gave the nazi salute while walking off the field.', 'anti-semitic graffiti was spray-painted on a several buildings at a middle school.', 'classmate of jewish high school student drew a swastika in her school folder.', 'during a group assignment, a non-jewish student directed the nazi salute at a jewish student.', 'elementary school student victim of anti-semitic bullying by a classmate.', 'jewish high school student heard classmate making anti-semitic remarks.', 'jewish high school student was harassed with anti-semitic epithets by classmate.', 'jewish middle school student victim of anti-semitic bullying.', 'jewish middle school student was shoved by a classmate who told him ""move, jew!""', 'jewish middle school student was told an anti-semitic joke by a classmate.', 'jewish student at a public high school was subjected to anti-semitic rhetoric by his teacher.', 'jewish student harassed at middle school, classmates drew swastikas on their peer-graded assignments in order to intimidate the jewish student.', 'jewish student harassed on the basketball court by an opposing player.', ""jewish student's classwork was defaced by her classmate with a swastika."", 'middle school student shared offensive holocaust-related meme.', 'student gestured the nazi salute in front of other students that included at least one jewish student.', 'teacher used racist and anti-semitic language in class.', 'three fourth grade students sang to a fellow student a song with the words, ""we?re nazi?s and we hate the jews. we?re nazi?s and we are creeping you. we?re nazi?s and we?re killing you. we?e nazi?s and we go (sound of a machine gun.)""']",33.675686999999996,-117.777207
Palm Beach County FL,22.0,2016-01-01,2019-12-01,1430 days,65 days 00:00:00,"boca raton, boynton beach, jupiter, lantana, loxahatchee, palm beach, palm beach gardens, wellington, west palm beach","['""hail hitler"" and an image of a swastika were written in a bathroom stall at a high school.', 'a swastika was etched into a bathroom stall at a high school.', 'anti-semitic note passed to jewish student.', 'jewish girl at a middle school received an anti-semitic text message from a classmate.', 'jewish high school student victim of ongoing anti-semitic harassment and bullying by classmate.', 'jewish school received a bomb threat.', 'jewish student at a high school was victim of verbal anti-semitic harassment by a peer.', 'jewish student discovered note with anti-semitic content in their backpack.', 'jewish student harassed on social media.', 'jewish student harassed with anti-semitic messages, including references to jews being cheap, swastikas, and message that the student\'s grandparents should have been ""roasted.""', 'jewish students faced ongoing taunting and anti-semitic ""jokes"" from peers.', 'jewish students victims of anti-semitic comments at high school.', 'middle school student heard multiple anti-semitic ""jokes"" during lunch.', 'middle school student was the victim of anti-semitic bullying at school and targeted on social media.', 'middle school students told another student, ""all jews should have died"" and ""hitler was right.""', 'public school student called a ""jew"" in a derogatory fashion.', 'student found book covered with anti-semitic symbolism in history class.', 'student harassed other students and drew swastikas on notebooks.', 'students made offensive holocaust jokes and promoted anti-semitic conspiracy theories.', 'swastika drawn in pencil found inside school bathroom.', 'swastikas and racial slurs found on walls at a high school.', 'two jewish students victims of ongoing anti-semitic anti-semitic incident: harassment at by school peers.']",26.645763,-80.448673
Kings County NY,21.0,2016-03-01,2019-12-01,1370 days,65 days 05:42:51.428571429,brooklyn,"['a jewish boy was walking to school when two passersby hit him on his head.', 'a swastika and ""ss"" were etched into a desk at a high school.', 'a swastika and neo-nazi references were etched into bathroom at a high school.', ""a swastika was carved into the sidewalk near a jewish school in brooklyn's gravesend neighborhood."", 'a teacher discovered a piece of paper with a swastika drawn on it taped to the wall at a school.', 'driver yelled anti-semitic and threatening remarks at crossing guard and child in front of jewish elementary school.', 'fire started inside school bus belonging to a jewish school.', 'high school hallway vandalized with swastika.', 'jewish woman verbally harassed with anti-semitic remarks by another parent at school function.', 'known local school bus with jewish iconography set ablaze in arson attack.', 'school buses belonging to a yeshiva were vandalized.', 'student drew a swastika on a desk.', 'students made anti-semitic comments to other students at middle school.', 'swastika etched into front driver-side window of car parked in front of high school.', 'swastika etching discovered on a desk at a school.', 'swastika graffiti discovered by school custodian at a high school.', 'swastika vandalism discovered in a school.', 'three jewish children were followed home from the school bus and had their yarmulkes forcibly removed.', 'two jewish students were approached by man on the street who waved his hands and said: ""this is what hitler did, it\'s going to happen again.""', 'two school buses with hebrew writing on them were vandalized.', 'two swastikas drawn on the sidewalk outside a jewish school.']",40.635133,-73.950777
Fulton County GA,20.0,2016-02-01,2019-02-01,1096 days,54 days 19:12:00,"alpharetta, atlanta, johns creek, milton, roswell, sandy springs","['a social media image of a group of high school students played a variation of beer pong, which they called ""nazis vs. jews"" went around the internet and community.', ""a swastika was drawn on a desk in a jewish teacher's classroom."", 'a swastika was spray-painted on a pillar in front of centennial high school.', 'elementary school student victim of anti-semitic bullying by peer.', 'elementary school teacher, who is jewish, discovered a swastika drawn on one of her planters.', 'jewish middle school student experienced ongoing bullying in the form of anti-semitic ""jokes"" and insults.""', 'jewish students experiencing ongoing anti-semitic harassment by peers in their high school including being called ""kike.""', 'jewish students harassed with anti-semitic jokes.', 'middle school student called a ""filthy jew"" after picking up a coin from the gym floor.', 'middle school student victim of ongoing anti-semitic harassment.', 'middle school students harassed other students with anti-semitic jokes.', 'multiple incidents of anti-semitic behavior reported at middle school, including students chanting ""heil hitler"" on school bus.', ""several students distributed valentine's day notes with anti-semitic content."", 'six middle school students performed ""heil hitler"" salute and called a boy ""hitler,"" in addition to swastikas found etched in school bathroom.', 'student directed holocaust jokes at jewish students in class.', 'students directed the heil hitler salute to a jewish student during class.', 'swastika drawn in school bathroom.', ""swastika found by a jewish student in the boy's bathroom of a middle school."", 'swastika with the letters spelling out ""nazi,"" discovered by an eighth-grade jewish boy in a school bathroom.', 'swastikas, a drawing of a gun, and the words ""you the jews"" found in restroom at middle school.']",33.790034000000006,-84.468182
Monmouth County NJ,20.0,2016-04-01,2019-12-01,1339 days,66 days 22:48:00,"aberdeen, hazlet, highlands, holmdel, howell, loch arbour village, manalapan, tinton falls","['""h8 jews"" was written into the sand during a high school trip to the beach.', '""i hate jews"" found written on a library desk at a high school.', '""i hate jews,"" a swastika, and other racist messages were written in a bathroom at a middle school.', 'a basketball court at a school was defaced with a swastika drawn in chalk.', 'a school employee discovered that two swastikas had been drawn on the sheet rock in a bathroom.', 'a student used chalk to draw swastikas on school property.', 'anti-semitic graffiti found scrawled at school playground.', 'anti-semitic messages written on school playground.', 'at school, a student was called a ""jew"" in a derogatory manner by another student.', 'high school student directed the nazi salute at other students.', 'individual received anti-semitic letter saying ""go back to your jew school.""', 'jewish student victim of anti-semitic harassment by classmate.', 'jewish student was harassed by a classmate who made intimidating threats about fighting him.', 'student at a middle school told another student that he was hitler and that he would ""put her in the gas chambers.""', 'swastika graffiti discovered in bathroom at school.', 'swastika graffiti discovered in school bathroom.', 'swastika vandalism discovered on a bench at a high school.', 'swastika vandalism discovered on a school desk.', 'swastika vandalism discovered on desks at a high school.', 'swastikas and male genitalia spray-painted on school playground equipment.']",40.287056,-74.152446
Westchester County NY,19.0,2016-05-01,2019-12-01,1309 days,68 days 21:28:25.263157895,"armonk, chappaqua, katonah, new rochelle, ossining, pelham, pleasantville, port chester, rye, scarsdale","['a school teacher drew a cartoon with a swastika in the classroom.', 'a swastika and the n-word were found drawn in a bathroom at ossining high school.', 'an anti-semitic note was passed between students at a middle school.', ""anti-semitic comments posted city school district's facebook page."", 'jewish student received text from his classmates that depicted him dying in a gas chamber.', 'over the course of a week, swastika vandalism was discovered at multiple locations in a middle school.', 'school officials at albert leonard middle school reported that ""anti-semitic language"" had been found written on the school playground.', 'swastika drawing discovered on a door in a bathroom at plesantville high school.', 'swastika graffiti discovered at two neighboring schools.', 'swastika graffiti discovered by students at pelham middle school.', 'swastika vandalism discovered at a middle school.', 'swastika vandalism discovered in a bathroom at scarsdale high school for the second time in one month.', 'swastika vandalism discovered in a bathroom at scarsdale high school.', 'swastika vandalism discovered in a high school.', 'swastika vandalism discovered in high school locker room.', 'swastika vandalism discovered in school locker room.', 'swastika vandalism discovered on school property.', 'swastika vandalism discovered on the wall in a locker room at new rochelle high school.', ""swastika vandalism was found at new rochelle high school in multiple locations including a bathroom, library, and near the athletic director's office.""]",41.152770000000004,-73.745912
Bergen County NJ,19.0,2017-05-01,2019-12-01,944 days,49 days 16:25:15.789473684,"hillsdale, midland park, montvale, north arlington, oakland, oradell, ridgefield park, ridgewood, teaneck, tenafly, upper saddle river, woodcliff lake, wyckoff","['""hitler = good"" was found carved into a classroom desk.', 'a bathroom at a high school was defaced with racist and anti-semitic graffiti that included a swastika, the word ""jews"" with a circle and line through it, the n-word, and ""wp"" for white power.', 'a student discovered that a swastika had been drawn on the classroom white board.', 'a swastika and kkk graffiti were discovered in a classroom at a high school.', 'a swastika and the letters ""wp,"" presumably ""white power,"" were scratched into a bathroom stall at a school.', ""a swastika was drawn on the wall of a boys' bathroom stall, and a hateful message against jews in a girls' bathroom stall at a high school."", 'an elementary school teacher discovered that two swastikas had been scratched into school music stands.', 'anti-semitic and racist epithets were scratched into a bathroom stall at a middle school.', 'anti-semitic graffiti that included a swastika next to a star of david discovered in a bathroom at a school.', 'at school, a student told their health class that their ""natural high is killing jews.""', 'building maintenance employees at ridgewood high school found three swastikas rubbed on the surface of a bathroom stall.', 'jewish student victim of ongoing anti-semitic harassment threats by classmate who said she should be ""gassed,"" and called her a ""jewish piece of shit.""', 'jungle gym equipment at a middle school was defaced with swastika graffiti.', 'paper swastikas were taped to a trash can in a bathroom at a school.', 'students on a school bus traced swastikas into the condensation on the windows.', 'swastika and kkk graffiti found in a bathroom at a high school.', 'swastika carving discvered in a bathroom at a high school.', 'swastika vandalism discovered at a high school.', 'swastika vandalism discovered in a school bathroom.']",40.95909,-74.074522
Morris County NJ,18.0,2016-01-01,2019-11-01,1400 days,77 days 18:40:00,"chatham, east hanover, hanover, jefferson, madison, mendham, mount olive, mountain lakes, pequannock, randolph, rockaway, roxbury","['a student at a middle school had a swastika drawn on his forehead.', 'a swastika, a homophobic slur, and the n-word were found written in a bathroom at a middle school.', 'a swastika, ss lightening bolts, and ""hail hitler"" were discovered written in a bathroom at a middle school.', 'elementary school student told by older classmate that ""all jews lie and are bad"" and that hitler was a good leader.', 'jewish student victim of anti-semitic anti-semitic incident: harassment.', 'middle school boy told a jewish classmate to ""get out of my seat, jew!"" the student was also seen making the sieg heil gesture.', 'school presentation defaced with swastika drawings.', 'student drew a swastika on the classroom white board during a class assignment.', 'student said ""shut up jew"" during a school activity.', 'student was called a ""stupid jew"" and told that they were ""going to die in the gas chamber."" the offender also shoved a nazi patch in the victim\'s face.', ""student's email was hacked and sent anti-semitic and racist memes."", 'students at a middle school directed the nazi salute at other students. simultaneously there were reports of racist, homophobic, and swastika graffiti at the school.', 'students gave nazi salutes in classroom.', 'students used anti-semitic screen names for a class assignment.', 'swastika vandalism discovered in a bathroom at a high school.', 'swastika vandalism discovered in a bathroom at a school.', 'swastika vandalism discovered in an elementary school bathroom.', 'swastika vandalism discovered inside a classroom.']",40.858581,-74.547427
